Campaign,Ad Group,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Description 1,Description 2
DMVSOS-RU,RU-Generic,https://dmvsos.com/ru/dmv-test,ru,dmv-test,Тест DMV на русском,Сдай с первого раза,20 вопросов бесплатно,Вопросы твоего штата,Без подписки · разовый платёж,25 000+ реальных вопросов,"Реальные вопросы экзамена твоего штата на русском. 20 бесплатно, без регистрации.","Разовый платёж, без подписки. Все режимы экзамена и объяснения к каждому вопросу."
DMVSOS-RU,RU-States-California,https://dmvsos.com/ru/dmv-test/california,ru,california,Экзамен DMV Калифорния,Тест DMV на русском,Сдай с первого раза,20 вопросов бесплатно,Реальный формат экзамена,Без подписки,"Реальные вопросы DMV Калифорнии на русском. 20 бесплатно, без регистрации.","Разовый платёж, без подписки. Все режимы экзамена и объяснения к каждому вопросу."
DMVSOS-RU,RU-States-Washington,https://dmvsos.com/ru/dmv-test/washington,ru,washington,Экзамен DOL Вашингтон,Тест на права на русском,Сдай с первого раза,20 вопросов бесплатно,Реальный формат экзамена,Без подписки,"Реальные вопросы DOL Вашингтона на русском. 20 бесплатно, без регистрации.","Разовый платёж, без подписки. Все режимы экзамена и объяснения к каждому вопросу."
DMVSOS-RU,RU-States-NewYork,https://dmvsos.com/ru/dmv-test/new-york,ru,new-york,Экзамен DMV Нью-Йорк,Тест DMV на русском,Сдай с первого раза,20 вопросов бесплатно,Реальный формат экзамена,Без подписки,"Реальные вопросы DMV Нью-Йорка на русском. 20 бесплатно, без регистрации.","Разовый платёж, без подписки. Все режимы экзамена и объяснения к каждому вопросу."
DMVSOS-RU,RU-States-Florida,https://dmvsos.com/ru/dmv-test/florida,ru,florida,Экзамен DMV Флорида,Тест DMV на русском,Сдай с первого раза,20 вопросов бесплатно,Реальный формат экзамена,Без подписки,"Реальные вопросы экзамена Флориды на русском. 20 бесплатно, без регистрации.","Разовый платёж, без подписки. Все режимы экзамена и объяснения к каждому вопросу."
DMVSOS-RU,RU-States-Illinois,https://dmvsos.com/ru/dmv-test/illinois,ru,illinois,Экзамен на права Иллинойс,Тест на русском,Сдай с первого раза,20 вопросов бесплатно,Реальный формат экзамена,Без подписки,"Реальные вопросы экзамена Иллинойса на русском. 20 бесплатно, без регистрации.","Разовый платёж, без подписки. Все режимы экзамена и объяснения к каждому вопросу."
DMVSOS-RU,RU-States-NewJersey,https://dmvsos.com/ru/dmv-test/new-jersey,ru,new-jersey,Экзамен на права Нью-Джерси,Тест на русском,Сдай с первого раза,20 вопросов бесплатно,Реальный формат экзамена,Без подписки,"Реальные вопросы экзамена Нью-Джерси на русском. 20 бесплатно, без регистрации.","Разовый платёж, без подписки. Все режимы экзамена и объяснения к каждому вопросу."
DMVSOS-RU,RU-States-Pennsylvania,https://dmvsos.com/ru/dmv-test/pennsylvania,ru,pennsylvania,Экзамен на права Пенсильвания,Тест на русском,Сдай с первого раза,20 вопросов бесплатно,Реальный формат экзамена,Без подписки,"Реальные вопросы экзамена Пенсильвании на русском. 20 бесплатно, без регистрации.","Разовый платёж, без подписки. Все режимы экзамена и объяснения к каждому вопросу."
DMVSOS-RU,RU-CDL,https://dmvsos.com/ru/dmv-test,ru,cdl,CDL тест на русском,CDL экзамен на русском,Сдай CDL с первого раза,Вопросы CDL твоего штата,Без подписки · разовый платёж,Объяснения к каждому вопросу,"Готовься к CDL на русском. Реальные вопросы и объяснения. Разовый платёж, без подписки.","CDL Pro включает и тесты для легковых. Все 50 штатов. Начни с бесплатных вопросов."
DMVSOS-ES,ES-Generic,https://dmvsos.com/es/dmv-test,es,dmv-test,Examen DMV en Español,Aprueba a la Primera,20 Preguntas Gratis,Preguntas de Tu Estado,Pago Único · Sin Suscripción,"25,000+ Preguntas Reales","Preguntas reales del examen de tu estado, en español. 20 gratis y sin registro.","Pago único, sin suscripción. Todos los modos de examen con explicaciones detalladas."
DMVSOS-ES,ES-States-California,https://dmvsos.com/es/dmv-test/california,es,california,Examen de Manejo California,Examen DMV en Español,Aprueba a la Primera,20 Preguntas Gratis,Formato del Examen Real,Sin Suscripción,"Preguntas reales del DMV de California, en español. 20 gratis y sin registro.","Pago único, sin suscripción. Todos los modos de examen con explicaciones detalladas."
DMVSOS-ES,ES-States-Texas,https://dmvsos.com/es/dmv-test/texas,es,texas,Examen DPS Texas,Examen de Manejo en Español,Aprueba a la Primera,20 Preguntas Gratis,Formato del Examen Real,Sin Suscripción,"Preguntas reales del DPS de Texas, en español. 20 gratis y sin registro.","Pago único, sin suscripción. Todos los modos de examen con explicaciones detalladas."
DMVSOS-ES,ES-States-Florida,https://dmvsos.com/es/dmv-test/florida,es,florida,Examen de Manejo Florida,Examen DMV en Español,Aprueba a la Primera,20 Preguntas Gratis,Formato del Examen Real,Sin Suscripción,"Preguntas reales del examen de Florida, en español. 20 gratis y sin registro.","Pago único, sin suscripción. Todos los modos de examen con explicaciones detalladas."
DMVSOS-ES,ES-States-NewYork,https://dmvsos.com/es/dmv-test/new-york,es,new-york,Examen de Manejo New York,Examen DMV en Español,Aprueba a la Primera,20 Preguntas Gratis,Formato del Examen Real,Sin Suscripción,"Preguntas reales del DMV de New York, en español. 20 gratis y sin registro.","Pago único, sin suscripción. Todos los modos de examen con explicaciones detalladas."
DMVSOS-ES,ES-States-Arizona,https://dmvsos.com/es/dmv-test/arizona,es,arizona,Examen de Manejo Arizona,Examen MVD en Español,Aprueba a la Primera,20 Preguntas Gratis,Formato del Examen Real,Sin Suscripción,"Preguntas reales del MVD de Arizona, en español. 20 gratis y sin registro.","Pago único, sin suscripción. Todos los modos de examen con explicaciones detalladas."
DMVSOS-ES,ES-States-NewJersey,https://dmvsos.com/es/dmv-test/new-jersey,es,new-jersey,Examen de Manejo New Jersey,Examen MVC en Español,Aprueba a la Primera,20 Preguntas Gratis,Formato del Examen Real,Sin Suscripción,"Preguntas reales del MVC de New Jersey, en español. 20 gratis y sin registro.","Pago único, sin suscripción. Todos los modos de examen con explicaciones detalladas."
DMVSOS-ES,ES-States-Illinois,https://dmvsos.com/es/dmv-test/illinois,es,illinois,Examen de Manejo Illinois,Examen SOS en Español,Aprueba a la Primera,20 Preguntas Gratis,Formato del Examen Real,Sin Suscripción,"Preguntas reales del examen de Illinois, en español. 20 gratis y sin registro.","Pago único, sin suscripción. Todos los modos de examen con explicaciones detalladas."
DMVSOS-UA,UA-Generic,https://dmvsos.com/ua/dmv-test,ua,dmv-test,Тест DMV українською,Склади з першого разу,20 питань безкоштовно,Питання твого штату,Без підписки · разовий платіж,25 000+ реальних питань,"Реальні питання іспиту твого штату українською. 20 безкоштовно, без реєстрації.","Разовий платіж, без підписки. Усі режими іспиту з поясненнями до кожного питання."
DMVSOS-UA,UA-States-California,https://dmvsos.com/ua/dmv-test/california,ua,california,Іспит DMV Каліфорнія,Тест DMV українською,Склади з першого разу,20 питань безкоштовно,Реальний формат іспиту,Без підписки,"Реальні питання DMV Каліфорнії українською. 20 безкоштовно, без реєстрації.","Разовий платіж, без підписки. Усі режими іспиту з поясненнями до кожного питання."
DMVSOS-UA,UA-States-Washington,https://dmvsos.com/ua/dmv-test/washington,ua,washington,Іспит DOL Вашингтон,Тест українською,Склади з першого разу,20 питань безкоштовно,Реальний формат іспиту,Без підписки,"Реальні питання DOL Вашингтона українською. 20 безкоштовно, без реєстрації.","Разовий платіж, без підписки. Усі режими іспиту з поясненнями до кожного питання."
DMVSOS-UA,UA-States-NewYork,https://dmvsos.com/ua/dmv-test/new-york,ua,new-york,Іспит DMV Нью-Йорк,Тест DMV українською,Склади з першого разу,20 питань безкоштовно,Реальний формат іспиту,Без підписки,"Реальні питання DMV Нью-Йорка українською. 20 безкоштовно, без реєстрації.","Разовий платіж, без підписки. Усі режими іспиту з поясненнями до кожного питання."
DMVSOS-UA,UA-States-Illinois,https://dmvsos.com/ua/dmv-test/illinois,ua,illinois,Іспит на права Іллінойс,Тест українською,Склади з першого разу,20 питань безкоштовно,Реальний формат іспиту,Без підписки,"Реальні питання іспиту Іллінойсу українською. 20 безкоштовно, без реєстрації.","Разовий платіж, без підписки. Усі режими іспиту з поясненнями до кожного питання."
DMVSOS-UA,UA-CDL,https://dmvsos.com/ua/dmv-test,ua,cdl,CDL тест українською,CDL іспит українською,Склади CDL з першого разу,Питання CDL твого штату,Без підписки · разовий платіж,Пояснення до кожного питання,"Готуйся до CDL українською. Реальні питання та пояснення. Разовий платіж, без підписки.","CDL Pro включає й тести для легкових. Усі 50 штатів. Почни з безкоштовних питань."
DMVSOS-ZH,ZH-Generic,https://dmvsos.com/zh/dmv-test,zh,dmv-test,DMV中文笔试练习,美国驾照笔试中文题库,一次通过笔试,20道免费试题,一次性付款 · 无订阅,每题都有详细解析,"你所在州的真实笔试题，中文作答。20道免费，无需注册。","一次性付款，无订阅。所有考试模式，每题都有详细解析。"
DMVSOS-ZH,ZH-States-California,https://dmvsos.com/zh/dmv-test/california,zh,california,加州驾照笔试中文练习,DMV中文笔试,一次通过笔试,20道免费试题,真实考试格式,无订阅,"加州DMV真实笔试题，中文作答。20道免费，无需注册。","一次性付款，无订阅。所有考试模式，每题都有详细解析。"
DMVSOS-ZH,ZH-States-NewYork,https://dmvsos.com/zh/dmv-test/new-york,zh,new-york,纽约驾照笔试中文练习,DMV中文笔试,一次通过笔试,20道免费试题,真实考试格式,无订阅,"纽约DMV真实笔试题，中文作答。20道免费，无需注册。","一次性付款，无订阅。所有考试模式，每题都有详细解析。"
DMVSOS-ZH,ZH-States-Texas,https://dmvsos.com/zh/dmv-test/texas,zh,texas,德州驾照笔试中文练习,DPS中文笔试,一次通过笔试,20道免费试题,真实考试格式,无订阅,"德州DPS真实笔试题，中文作答。20道免费，无需注册。","一次性付款，无订阅。所有考试模式，每题都有详细解析。"
DMVSOS-ZH,ZH-States-Washington,https://dmvsos.com/zh/dmv-test/washington,zh,washington,华盛顿州驾照笔试练习,DOL中文笔试,一次通过笔试,20道免费试题,真实考试格式,无订阅,"华盛顿州DOL真实笔试题，中文作答。20道免费，无需注册。","一次性付款，无订阅。所有考试模式，每题都有详细解析。"
